"","lakeid","year4","sampledate","gearid","spname","length","weight","sex"
"32","TR",1981,"8/19/1981","VGN038","CISCO",202,NA,"F"
"33","TR",1981,"8/19/1981","VGN032","CISCO",204,NA,"F"
"34","TR",1981,"8/19/1981","VGN038","CISCO",205,NA,"F"
"35","TR",1981,"8/19/1981","VGN032","CISCO",207,NA,"F"
"36","TR",1981,"8/19/1981","VGN032","CISCO",207,NA,"F"
"37","TR",1981,"8/19/1981","VGN038","CISCO",211,NA,"F"
"38","TR",1981,"8/19/1981","VGN038","CISCO",212,NA,"F"
"39","TR",1981,"8/19/1981","VGN038","CISCO",212,NA,"F"
"40","TR",1981,"8/19/1981","VGN032","CISCO",213,NA,"F"
"41","TR",1981,"8/19/1981","VGN032","CISCO",213,NA,"F"
"42","TR",1981,"8/19/1981","VGN038","CISCO",218,NA,"F"
"43","TR",1981,"8/19/1981","VGN051","CISCO",226,NA,"F"
"44","TR",1981,"8/12/1981","TRAMML","CISCO",230,NA,"F"
"45","TR",1981,"8/11/1981","VGN019","CISCO",94,5.3,"I"
"46","TR",1981,"8/12/1981","VGN019","CISCO",93,5.8,"I"
"47","TR",1981,"8/12/1981","VGN032","CISCO",187,46.1,"I"
"48","TR",1981,"8/19/1981","VGN038","CISCO",211,70,"I"
"49","TR",1981,"8/19/1981","VGN032","CISCO",146,22,"M"
"50","TR",1981,"8/19/1981","VGN032","CISCO",146,22.5,"M"
"51","TR",1981,"8/19/1981","VGN032","CISCO",148,22.5,"M"
"52","TR",1981,"8/11/1981","VGN032","CISCO",150,23.7,"M"
"53","TR",1981,"8/12/1981","VGN032","CISCO",148,23.8,"M"
"54","TR",1981,"8/19/1981","VGN032","CISCO",150,24,"M"
"55","TR",1981,"8/11/1981","VGN032","CISCO",151,24.2,"M"
"56","TR",1981,"8/18/1981","VGN032","CISCO",144,25,"M"
"57","TR",1981,"8/11/1981","VGN032","CISCO",150,25.1,"M"
"58","TR",1981,"8/12/1981","VGN032","CISCO",173,38.6,"M"
"59","TR",1981,"8/12/1981","VGN038","CISCO",190,44,"M"
"60","TR",1981,"8/12/1981","VGN038","CISCO",188,46.9,"M"
"61","TR",1981,"8/10/1981","VGN032","CISCO",190,47.4,"M"
"62","TR",1981,"8/12/1981","VGN038","CISCO",194,48,"M"
"63","TR",1981,"8/11/1981","VGN032","CISCO",191,49.2,"M"
"64","TR",1981,"8/11/1981","VGN038","CISCO",193,50,"M"
"65","TR",1981,"8/19/1981","VGN038","CISCO",197,50,"M"
"66","TR",1981,"8/19/1981","VGN038","CISCO",203,50,"M"
"67","TR",1981,"8/12/1981","VGN038","CISCO",195,51,"M"
"68","TR",1981,"8/11/1981","VGN032","CISCO",201,52,"M"
"69","TR",1981,"8/12/1981","VGN038","CISCO",203,52,"M"
"70","TR",1981,"8/11/1981","VGN032","CISCO",204,52,"M"
"71","TR",1981,"8/12/1981","VGN038","CISCO",201,53,"M"
"72","TR",1981,"8/11/1981","VGN032","CISCO",194,55,"M"
"73","TR",1981,"8/11/1981","VGN032","CISCO",200,58,"M"
"74","TR",1981,"8/19/1981","VGN032","CISCO",205,60,"M"
"75","TR",1981,"8/19/1981","VGN032","CISCO",146,NA,"M"
"76","TR",1981,"8/19/1981","VGN038","CISCO",178,NA,"M"
"77","TR",1981,"8/19/1981","VGN038","CISCO",201,NA,"M"
"78","TR",1981,"8/12/1981","VGN038","CISCO",202,NA,"M"
"79","TR",1981,"8/19/1981","VGN038","CISCO",202,NA,"M"
"80","TR",1981,"8/19/1981","VGN038","CISCO",209,NA,"M"
"81","TR",1981,"8/19/1981","VGN038","CISCO",210,NA,"M"
"82","TR",1981,"8/19/1981","VGN019","CISCO",91,4.5,NA
"83","TR",1981,"8/19/1981","VGN019","CISCO",96,5,NA
"84","TR",1981,"8/19/1981","VGN019","CISCO",96,5.5,NA
"85","TR",1981,"8/19/1981","VGN019","CISCO",98,5.5,NA
"86","TR",1981,"8/19/1981","VGN019","CISCO",98,6,NA
"87","TR",1981,"8/19/1981","VGN019","CISCO",99,6,NA
"88","TR",1981,"8/19/1981","VGN019","CISCO",99,6.5,NA
"89","TR",1981,"8/19/1981","VGN019","CISCO",99,6.5,NA
"90","TR",1981,"8/19/1981","VGN019","CISCO",106,6.5,NA
"91","TR",1981,"8/19/1981","VGN019","CISCO",100,7,NA
"92","TR",1981,"8/18/1981","VGN019","CISCO",104,7,NA
"93","TR",1981,"8/19/1981","VGN019","CISCO",105,7,NA
"94","TR",1981,"8/19/1981","VGN019","CISCO",101,7.5,NA
"95","TR",1981,"8/19/1981","VGN032","CISCO",142,21,NA
"96","TR",1981,"8/18/1981","VGN032","CISCO",145,21,NA
"97","TR",1981,"8/19/1981","VGN032","CISCO",146,21,NA
"98","TR",1981,"8/18/1981","VGN032","CISCO",148,22,NA
"99","TR",1981,"8/19/1981","VGN032","CISCO",146,22.5,NA
"100","TR",1981,"8/18/1981","VGN032","CISCO",149,22.5,NA
"101","TR",1981,"8/19/1981","VGN032","CISCO",150,22.5,NA
"102","TR",1981,"8/19/1981","VGN032","CISCO",146,23,NA
"103","TR",1981,"8/19/1981","VGN032","CISCO",147,23,NA
"104","TR",1981,"8/18/1981","VGN032","CISCO",150,23,NA
"105","TR",1981,"8/19/1981","VGN032","CISCO",150,23,NA
"106","TR",1981,"8/19/1981","VGN032","CISCO",152,23,NA
"107","TR",1981,"8/19/1981","VGN032","CISCO",151,23.5,NA
"108","TR",1981,"8/19/1981","VGN032","CISCO",152,23.5,NA
"109","TR",1981,"8/11/1981","VGN032","CISCO",149,24,NA
"110","TR",1981,"8/19/1981","VGN032","CISCO",149,24,NA
"111","TR",1981,"8/18/1981","VGN032","CISCO",150,24,NA
"112","TR",1981,"8/19/1981","VGN032","CISCO",151,24,NA
"113","TR",1981,"8/19/1981","VGN032","CISCO",151,24,NA
"114","TR",1981,"8/18/1981","VGN032","CISCO",153,24,NA
"115","TR",1981,"8/19/1981","VGN032","CISCO",146,24.5,NA
"116","TR",1981,"8/19/1981","VGN032","CISCO",152,24.5,NA
"117","TR",1981,"8/19/1981","VGN032","CISCO",153,24.5,NA
"118","TR",1981,"8/19/1981","VGN032","CISCO",150,25,NA
"119","TR",1981,"8/19/1981","VGN032","CISCO",151,25,NA
"120","TR",1981,"8/19/1981","VGN032","CISCO",153,25,NA
"121","TR",1981,"8/19/1981","VGN032","CISCO",156,25,NA
"122","TR",1981,"8/18/1981","VGN032","CISCO",156,25.5,NA
"123","TR",1981,"8/19/1981","VGN032","CISCO",154,26.5,NA
"124","TR",1981,"8/18/1981","VGN032","CISCO",159,27,NA
"125","TR",1981,"8/18/1981","VGN032","CISCO",160,27.5,NA
"126","TR",1981,"8/19/1981","VGN032","CISCO",155,45,NA
"127","TR",1981,"8/18/1981","VGN038","CISCO",190,47,NA
"128","TR",1981,"8/18/1981","VGN038","CISCO",192,47,NA
"129","TR",1981,"8/12/1981","VGN038","CISCO",189,50,NA
"130","TR",1981,"8/19/1981","VGN038","CISCO",191,50,NA
"131","TR",1981,"8/19/1981","VGN038","CISCO",197,50,NA
"132","TR",1981,"8/11/1981","VGN038","CISCO",199,50,NA
"133","TR",1981,"8/19/1981","VGN032","CISCO",195,55,NA
"134","TR",1981,"8/19/1981","VGN032","CISCO",198,55,NA
"135","TR",1981,"8/19/1981","VGN032","CISCO",200,55,NA
"136","TR",1981,"8/11/1981","VGN032","CISCO",202,55,NA
"137","TR",1981,"8/19/1981","VGN038","CISCO",206,55,NA
"138","TR",1981,"8/11/1981","VGN038","CISCO",207,60,NA
"139","TR",1981,"8/19/1981","VGN038","CISCO",208,60,NA
"140","TR",1981,"8/18/1981","VGN038","CISCO",216,65,NA
"141","TR",1981,"8/19/1981","VGN019","CISCO",97,NA,NA
"142","TR",1981,"8/19/1981","VGN019","CISCO",98,NA,NA
"143","TR",1981,"8/19/1981","VGN019","CISCO",98,NA,NA
"144","TR",1981,"8/19/1981","VGN019","CISCO",99,NA,NA
"145","TR",1981,"8/18/1981","VGN032","CISCO",150,NA,NA
"146","TR",1981,"8/18/1981","VGN032","CISCO",153,NA,NA
"147","TR",1981,"8/19/1981","VGN032","CISCO",179,NA,NA
"148","TR",1981,"8/19/1981","VGN038","CISCO",191,NA,NA
"149","TR",1981,"8/18/1981","VGN038","CISCO",193,NA,NA
"150","TR",1981,"8/18/1981","VGN038","CISCO",195,NA,NA
"151","TR",1981,"8/18/1981","VGN038","CISCO",195,NA,NA
"152","TR",1981,"8/18/1981","VGN038","CISCO",196,NA,NA
"153","TR",1981,"8/19/1981","VGN038","CISCO",196,NA,NA
"154","TR",1981,"8/18/1981","VGN038","CISCO",197,NA,NA
"155","TR",1981,"8/19/1981","VGN038","CISCO",197,NA,NA
"156","TR",1981,"8/19/1981","VGN038","CISCO",197,NA,NA
"157","TR",1981,"8/19/1981","VGN032","CISCO",197,NA,NA
"158","TR",1981,"8/19/1981","VGN038","CISCO",198,NA,NA
"159","TR",1981,"8/19/1981","VGN038","CISCO",199,NA,NA
"160","TR",1981,"8/19/1981","VGN038","CISCO",199,NA,NA
"161","TR",1981,"8/18/1981","VGN038","CISCO",200,NA,NA
"162","TR",1981,"8/18/1981","VGN038","CISCO",200,NA,NA
"163","TR",1981,"8/19/1981","VGN038","CISCO",200,NA,NA
"164","TR",1981,"8/19/1981","VGN038","CISCO",201,NA,NA
"165","TR",1981,"8/18/1981","VGN038","CISCO",201,NA,NA
"166","TR",1981,"8/18/1981","VGN038","CISCO",202,NA,NA
"167","TR",1981,"8/18/1981","VGN032","CISCO",206,NA,NA
"168","TR",1981,"8/18/1981","VGN032","CISCO",206,NA,NA
"169","TR",1981,"8/19/1981","VGN038","CISCO",206,NA,NA
"170","TR",1981,"8/18/1981","VGN038","CISCO",207,NA,NA
"171","TR",1981,"8/18/1981","VGN038","CISCO",207,NA,NA
"172","TR",1981,"8/18/1981","VGN038","CISCO",208,NA,NA
"173","TR",1981,"8/19/1981","VGN038","CISCO",208,NA,NA
"174","TR",1981,"8/18/1981","VGN032","CISCO",209,NA,NA
"175","TR",1981,"8/19/1981","VGN038","CISCO",209,NA,NA
"176","TR",1981,"8/12/1981","TRAMML","CISCO",221,NA,NA
"177","TR",1982,"7/29/1982","VGN032","CISCO",158,29,"F"
"178","TR",1982,"7/29/1982","VGN032","CISCO",159,30,"F"
"179","TR",1982,"7/29/1982","VGN038","CISCO",167,39,"F"
"180","TR",1982,"7/29/1982","VGN038","CISCO",174,39,"F"
"181","TR",1982,"7/29/1982","VGN038","CISCO",171,40,"F"
"182","TR",1982,"7/29/1982","VGN038","CISCO",176,41,"F"
"183","TR",1982,"7/29/1982","VGN038","CISCO",179,42,"F"
"184","TR",1982,"7/29/1982","VGN038","CISCO",179,42,"F"
"185","TR",1982,"7/29/1982","VGN038","CISCO",174,43,"F"
"186","TR",1982,"7/29/1982","VGN038","CISCO",180,44,"F"
"187","TR",1982,"7/29/1982","VGN032","CISCO",181,46,"F"
"188","TR",1982,"7/29/1982","VGN032","CISCO",186,46,"F"
"189","TR",1982,"7/29/1982","VGN038","CISCO",202,60,"F"
"190","TR",1982,"7/29/1982","VGN038","CISCO",205,61,"F"
"191","TR",1982,"7/29/1982","VGN038","CISCO",209,61,"F"
"192","TR",1982,"7/29/1982","VGN038","CISCO",203,62,"F"
"193","TR",1982,"7/29/1982","VGN038","CISCO",205,63,"F"
"194","TR",1982,"7/30/1982","VGN051","CISCO",228,86,"F"
"195","TR",1982,"7/29/1982","VGN038","CISCO",226,96,"F"
"196","TR",1982,"7/29/1982","VGN038","CISCO",244,125,"F"
"197","TR",1982,"7/29/1982","VGN038","CISCO",189,NA,"F"
"198","TR",1982,"7/29/1982","VGN038","CISCO",178,41,"M"
"199","TR",1982,"7/29/1982","VGN038","CISCO",180,41,"M"
"200","TR",1982,"7/29/1982","VGN038","CISCO",183,43,"M"
"201","TR",1982,"7/29/1982","VGN032","CISCO",197,55,"M"
"202","TR",1982,"7/29/1982","VGN032","CISCO",203,55,"M"
"203","TR",1982,"7/29/1982","VGN038","CISCO",190,56,"M"
"204","TR",1982,"7/29/1982","VGN032","CISCO",200,65,"M"
"205","TR",1982,"7/29/1982","VGN019","CISCO",80,3.4,NA
"206","TR",1982,"7/30/1982","VGN038","CISCO",161,35,NA
"207","TR",1982,"7/29/1982","VGN032","CISCO",164,35,NA
"208","TR",1982,"7/30/1982","VGN038","CISCO",165,36,NA
"209","TR",1982,"7/30/1982","VGN038","CISCO",166,36,NA
"210","TR",1982,"7/29/1982","VGN032","CISCO",168,36,NA
"211","TR",1982,"7/30/1982","VGN038","CISCO",169,37,NA
"212","TR",1982,"7/29/1982","VGN038","CISCO",173,37,NA
"213","TR",1982,"7/29/1982","VGN038","CISCO",167,39,NA
"214","TR",1982,"7/30/1982","VGN038","CISCO",167,39,NA
"215","TR",1982,"7/30/1982","VGN038","CISCO",167,39,NA
"216","TR",1982,"7/29/1982","VGN032","CISCO",168,39,NA
"217","TR",1982,"7/29/1982","VGN032","CISCO",175,39,NA
"218","TR",1982,"7/29/1982","VGN038","CISCO",174,40,NA
"219","TR",1982,"7/28/1982","VGN032","CISCO",177,40,NA
"220","TR",1982,"7/29/1982","VGN025","CISCO",169,41,NA
"221","TR",1982,"7/29/1982","VGN032","CISCO",173,41,NA
"222","TR",1982,"7/29/1982","VGN032","CISCO",174,41,NA
"223","TR",1982,"7/29/1982","VGN032","CISCO",170,42,NA
"224","TR",1982,"7/29/1982","VGN032","CISCO",171,42,NA
"225","TR",1982,"7/29/1982","VGN038","CISCO",174,42,NA
"226","TR",1982,"7/29/1982","VGN032","CISCO",178,42,NA
"227","TR",1982,"7/29/1982","VGN032","CISCO",177,43,NA
"228","TR",1982,"7/29/1982","VGN038","CISCO",180,43,NA
"229","TR",1982,"7/30/1982","VGN038","CISCO",181,43,NA
"230","TR",1982,"7/28/1982","VGN038","CISCO",188,43,NA
"231","TR",1982,"7/29/1982","VGN032","CISCO",180,44,NA
"232","TR",1982,"7/29/1982","VGN038","CISCO",183,44,NA
"233","TR",1982,"7/28/1982","VGN038","CISCO",190,49,NA
"234","TR",1982,"7/30/1982","VGN038","CISCO",188,52,NA
"235","TR",1982,"7/30/1982","VGN038","CISCO",196,52,NA
"236","TR",1982,"7/29/1982","VGN032","CISCO",190,53,NA
"237","TR",1982,"7/30/1982","VGN038","CISCO",194,53,NA
"238","TR",1982,"7/29/1982","VGN038","CISCO",188,54,NA
"239","TR",1982,"7/29/1982","VGN038","CISCO",198,54,NA
"240","TR",1982,"7/28/1982","VGN038","CISCO",202,54,NA
"241","TR",1982,"7/28/1982","VGN038","CISCO",199,55,NA
"242","TR",1982,"7/30/1982","VGN038","CISCO",195,56,NA
"243","TR",1982,"7/28/1982","VGN038","CISCO",205,58,NA
"244","TR",1982,"7/29/1982","VGN038","CISCO",200,59,NA
"245","TR",1982,"7/30/1982","VGN038","CISCO",204,59,NA
"246","TR",1982,"7/28/1982","VGN038","CISCO",204,60,NA
"247","TR",1982,"7/28/1982","VGN038","CISCO",205,60,NA
"248","TR",1982,"7/30/1982","VGN038","CISCO",199,61,NA
"249","TR",1982,"7/28/1982","VGN032","CISCO",205,61,NA
"250","TR",1982,"7/28/1982","VGN038","CISCO",208,61,NA
"251","TR",1982,"7/28/1982","VGN032","CISCO",201,62,NA
"252","TR",1982,"7/30/1982","VGN038","CISCO",210,62,NA
"253","TR",1982,"7/28/1982","VGN038","CISCO",215,62,NA
"254","TR",1982,"7/28/1982","VGN032","CISCO",200,64,NA
"255","TR",1982,"7/30/1982","VGN038","CISCO",206,65,NA
"256","TR",1982,"7/30/1982","VGN038","CISCO",214,65,NA
"257","TR",1982,"7/30/1982","VGN038","CISCO",210,66,NA
"258","TR",1982,"7/30/1982","VGN038","CISCO",212,72,NA
"259","TR",1982,"7/30/1982","VGN032","CISCO",219,75,NA
"260","TR",1982,"7/30/1982","VGN038","CISCO",219,79,NA
"261","TR",1982,"7/30/1982","VGN038","CISCO",225,83,NA
"262","TR",1982,"7/30/1982","VGN032","CISCO",155,NA,NA
"263","TR",1982,"7/29/1982","VGN038","CISCO",157,NA,NA
"264","TR",1982,"7/30/1982","VGN032","CISCO",158,NA,NA
"265","TR",1982,"7/29/1982","VGN038","CISCO",159,NA,NA
"266","TR",1982,"7/30/1982","VGN032","CISCO",160,NA,NA
"267","TR",1982,"7/29/1982","VGN032","CISCO",161,NA,NA
"268","TR",1982,"7/29/1982","VGN032","CISCO",163,NA,NA
"269","TR",1982,"7/29/1982","VGN032","CISCO",163,NA,NA
"270","TR",1982,"7/29/1982","VGN038","CISCO",165,NA,NA
"271","TR",1982,"7/29/1982","VGN032","CISCO",165,NA,NA
"272","TR",1982,"7/29/1982","VGN032","CISCO",165,NA,NA
"273","TR",1982,"7/30/1982","VGN032","CISCO",165,NA,NA
"274","TR",1982,"7/29/1982","VGN038","CISCO",166,NA,NA
"275","TR",1982,"7/30/1982","VGN038","CISCO",166,NA,NA
"276","TR",1982,"7/30/1982","VGN032","CISCO",166,NA,NA
"277","TR",1982,"7/30/1982","VGN032","CISCO",166,NA,NA
"278","TR",1982,"7/29/1982","VGN038","CISCO",167,NA,NA
"279","TR",1982,"7/29/1982","VGN038","CISCO",167,NA,NA
"280","TR",1982,"7/29/1982","VGN038","CISCO",167,NA,NA
"281","TR",1982,"7/30/1982","VGN032","CISCO",167,NA,NA
"282","TR",1982,"7/30/1982","VGN032","CISCO",167,NA,NA
"283","TR",1982,"7/30/1982","VGN032","CISCO",167,NA,NA
"284","TR",1982,"7/30/1982","VGN032","CISCO",167,NA,NA
"285","TR",1982,"7/29/1982","VGN038","CISCO",168,NA,NA
"286","TR",1982,"7/29/1982","VGN038","CISCO",168,NA,NA
"287","TR",1982,"7/29/1982","VGN032","CISCO",168,NA,NA
"288","TR",1982,"7/29/1982","VGN032","CISCO",168,NA,NA
"289","TR",1982,"7/30/1982","VGN038","CISCO",168,NA,NA
"290","TR",1982,"7/30/1982","VGN032","CISCO",168,NA,NA
"291","TR",1982,"7/30/1982","VGN032","CISCO",168,NA,NA
"292","TR",1982,"7/30/1982","VGN038","CISCO",168,NA,NA
"293","TR",1982,"7/29/1982","VGN038","CISCO",169,NA,NA
"294","TR",1982,"7/30/1982","VGN032","CISCO",169,NA,NA
"295","TR",1982,"7/30/1982","VGN032","CISCO",169,NA,NA
"296","TR",1982,"7/30/1982","VGN032","CISCO",169,NA,NA
"297","TR",1982,"7/29/1982","VGN038","CISCO",170,NA,NA
"298","TR",1982,"7/29/1982","VGN038","CISCO",170,NA,NA
"299","TR",1982,"7/29/1982","VGN032","CISCO",170,NA,NA
"300","TR",1982,"7/29/1982","VGN032","CISCO",170,NA,NA
"301","TR",1982,"7/30/1982","VGN038","CISCO",170,NA,NA
"302","TR",1982,"7/30/1982","VGN038","CISCO",170,NA,NA
"303","TR",1982,"7/30/1982","VGN038","CISCO",170,NA,NA
"304","TR",1982,"7/30/1982","VGN038","CISCO",170,NA,NA
"305","TR",1982,"7/30/1982","VGN032","CISCO",170,NA,NA
"306","TR",1982,"7/30/1982","VGN032","CISCO",170,NA,NA
"307","TR",1982,"7/30/1982","VGN032","CISCO",170,NA,NA
"308","TR",1982,"7/30/1982","VGN032","CISCO",170,NA,NA
"309","TR",1982,"7/30/1982","VGN032","CISCO",170,NA,NA
"310","TR",1982,"7/29/1982","VGN032","CISCO",170,NA,NA
"311","TR",1982,"7/29/1982","VGN038","CISCO",171,NA,NA
"312","TR",1982,"7/29/1982","VGN038","CISCO",171,NA,NA
"313","TR",1982,"7/29/1982","VGN038","CISCO",171,NA,NA
"314","TR",1982,"7/30/1982","VGN038","CISCO",171,NA,NA
"315","TR",1982,"7/30/1982","VGN032","CISCO",171,NA,NA
"316","TR",1982,"7/30/1982","VGN032","CISCO",171,NA,NA
"317","TR",1982,"7/29/1982","VGN038","CISCO",172,NA,NA
"318","TR",1982,"7/29/1982","VGN038","CISCO",172,NA,NA
"319","TR",1982,"7/29/1982","VGN038","CISCO",172,NA,NA
"320","TR",1982,"7/29/1982","VGN032","CISCO",172,NA,NA
"321","TR",1982,"7/29/1982","VGN032","CISCO",172,NA,NA
"322","TR",1982,"7/29/1982","VGN032","CISCO",172,NA,NA
"323","TR",1982,"7/30/1982","VGN038","CISCO",172,NA,NA
"324","TR",1982,"7/30/1982","VGN038","CISCO",172,NA,NA
"325","TR",1982,"7/30/1982","VGN038","CISCO",172,NA,NA
"326","TR",1982,"7/30/1982","VGN038","CISCO",172,NA,NA
"327","TR",1982,"7/30/1982","VGN038","CISCO",172,NA,NA
"328","TR",1982,"7/30/1982","VGN032","CISCO",172,NA,NA
"329","TR",1982,"7/30/1982","VGN032","CISCO",172,NA,NA
"330","TR",1982,"7/30/1982","VGN032","CISCO",172,NA,NA
"331","TR",1982,"7/30/1982","VGN032","CISCO",172,NA,NA
"332","TR",1982,"7/29/1982","VGN032","CISCO",172,NA,NA
"333","TR",1982,"7/29/1982","VGN038","CISCO",173,NA,NA
"334","TR",1982,"7/29/1982","VGN038","CISCO",173,NA,NA
"335","TR",1982,"7/29/1982","VGN032","CISCO",173,NA,NA
"336","TR",1982,"7/29/1982","VGN032","CISCO",173,NA,NA
"337","TR",1982,"7/30/1982","VGN038","CISCO",173,NA,NA
"338","TR",1982,"7/30/1982","VGN038","CISCO",173,NA,NA
"339","TR",1982,"7/30/1982","VGN038","CISCO",173,NA,NA
"340","TR",1982,"7/30/1982","VGN038","CISCO",173,NA,NA
"341","TR",1982,"7/30/1982","VGN032","CISCO",173,NA,NA
"342","TR",1982,"7/30/1982","VGN032","CISCO",173,NA,NA
"343","TR",1982,"7/30/1982","VGN032","CISCO",173,NA,NA
"344","TR",1982,"7/29/1982","VGN038","CISCO",174,NA,NA
"345","TR",1982,"7/29/1982","VGN038","CISCO",174,NA,NA
"346","TR",1982,"7/30/1982","VGN032","CISCO",174,NA,NA
"347","TR",1982,"7/30/1982","VGN038","CISCO",174,NA,NA
"348","TR",1982,"7/29/1982","VGN038","CISCO",175,NA,NA
"349","TR",1982,"7/29/1982","VGN032","CISCO",175,NA,NA
"350","TR",1982,"7/29/1982","VGN032","CISCO",175,NA,NA
"351","TR",1982,"7/29/1982","VGN032","CISCO",175,NA,NA
"352","TR",1982,"7/29/1982","VGN032","CISCO",175,NA,NA
"353","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"354","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"355","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"356","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"357","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"358","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"359","TR",1982,"7/30/1982","VGN038","CISCO",175,NA,NA
"360","TR",1982,"7/30/1982","VGN032","CISCO",175,NA,NA
"361","TR",1982,"7/30/1982","VGN032","CISCO",175,NA,NA
"362","TR",1982,"7/30/1982","VGN032","CISCO",175,NA,NA
"363","TR",1982,"7/30/1982","VGN032","CISCO",175,NA,NA
"364","TR",1982,"7/29/1982","VGN038","CISCO",176,NA,NA
"365","TR",1982,"7/29/1982","VGN038","CISCO",176,NA,NA
"366","TR",1982,"7/29/1982","VGN032","CISCO",176,NA,NA
"367","TR",1982,"7/30/1982","VGN038","CISCO",176,NA,NA
"368","TR",1982,"7/30/1982","VGN032","CISCO",176,NA,NA
"369","TR",1982,"7/30/1982","VGN032","CISCO",176,NA,NA
"370","TR",1982,"7/30/1982","VGN032","CISCO",176,NA,NA
"371","TR",1982,"7/30/1982","VGN032","CISCO",176,NA,NA
"372","TR",1982,"7/29/1982","VGN038","CISCO",177,NA,NA
"373","TR",1982,"7/29/1982","VGN038","CISCO",177,NA,NA
"374","TR",1982,"7/29/1982","VGN032","CISCO",177,NA,NA
"375","TR",1982,"7/30/1982","VGN038","CISCO",177,NA,NA
"376","TR",1982,"7/30/1982","VGN038","CISCO",177,NA,NA
"377","TR",1982,"7/30/1982","VGN038","CISCO",177,NA,NA
"378","TR",1982,"7/30/1982","VGN032","CISCO",177,NA,NA
"379","TR",1982,"7/30/1982","VGN032","CISCO",177,NA,NA
"380","TR",1982,"7/30/1982","VGN032","CISCO",177,NA,NA
"381","TR",1982,"7/29/1982","VGN038","CISCO",177,NA,NA
"382","TR",1982,"7/29/1982","VGN038","CISCO",178,NA,NA
"383","TR",1982,"7/29/1982","VGN038","CISCO",178,NA,NA
"384","TR",1982,"7/29/1982","VGN032","CISCO",178,NA,NA
"385","TR",1982,"7/29/1982","VGN032","CISCO",178,NA,NA
"386","TR",1982,"7/29/1982","VGN032","CISCO",178,NA,NA
"387","TR",1982,"7/30/1982","VGN038","CISCO",178,NA,NA
"388","TR",1982,"7/30/1982","VGN038","CISCO",178,NA,NA
"389","TR",1982,"7/30/1982","VGN038","CISCO",178,NA,NA
"390","TR",1982,"7/30/1982","VGN032","CISCO",178,NA,NA
"391","TR",1982,"7/30/1982","VGN032","CISCO",178,NA,NA
"392","TR",1982,"7/30/1982","VGN032","CISCO",178,NA,NA
"393","TR",1982,"7/29/1982","VGN038","CISCO",179,NA,NA
"394","TR",1982,"7/29/1982","VGN038","CISCO",179,NA,NA
"395","TR",1982,"7/30/1982","VGN038","CISCO",179,NA,NA
"396","TR",1982,"7/30/1982","VGN032","CISCO",179,NA,NA
"397","TR",1982,"7/30/1982","VGN032","CISCO",179,NA,NA
"398","TR",1982,"7/30/1982","VGN032","CISCO",179,NA,NA
